SubjectID,Hemisphere,AvgCortThickness,PialArea,SmoothPialArea,WhiteArea,PialFullArea,WhiteFullArea,SmoothPialFullArea,ConvexHullFullArea,ConvexHullArea,PialFullVol,WhiteFullVol,GreymatterVol,SmoothPialFullVol
SUBJ002,left,2.33776576884758,104854.920050303,37893.4499037349,89199.2986082984,109571.088867733,93741.5112144247,40334.5143600926,42478.0169772019,40036.9525208443,492521.547190792,267946.957480035,224574.589710757,606588.841322704
SUBJ002,right,2.3292636061657,106313.788621833,38434.1631235918,90230.1607116308,110857.951095297,94536.0058128002,40796.3172730907,43135.1226602447,40772.9685107457,490732.777918285,264005.679071732,226727.098846553,606859.621555529
SUBJ003,left,2.39771979369961,109094.219380686,41264.5270186753,94159.7962267555,113568.230708668,98562.2013297743,44098.76068005,46556.0703004601,43721.8366390854,554006.872830256,313417.17756438,240589.695265876,668287.504675517
SUBJ003,right,2.43287984369797,109396.242066627,41142.1026128536,94314.2145634507,114023.743142605,98868.8182539374,43883.5481202071,46105.3010263104,43363.8555189569,552687.222263029,308025.755473137,244661.466789892,667491.421564346
SUBJ005,left,2.48489129179924,97952.6630675824,37457.0140751392,83835.8990071019,101898.018757363,87713.5118276913,39989.214794964,42708.9774583783,40176.7767385535,474288.311701039,251177.615134769,223110.69656627,564764.031200859
SUBJ005,right,2.47497131666197,96979.3663095803,37447.961273916,83328.1811427905,100736.742567335,87091.8724444052,39847.632334019,42645.5646952216,40245.8936351186,474171.24935103,253948.247365,220223.001986031,560577.716762972
SUBJ006,left,2.41769510227878,87214.6327233791,34536.1120169911,74571.1267951035,91106.5351775497,78388.5224328573,37130.5931841849,39369.2469880047,36774.7658208109,411223.710308594,217139.777609458,194083.932699136,513562.906066544
SUBJ006,right,2.4272593789402,88849.3435177122,34714.0628594959,75311.1725788568,92764.0336065017,79160.1850658838,37164.7215455679,39411.6586110621,36960.9999249901,410936.769645991,213239.706179575,197697.063466416,514962.434746122
SUBJ007,left,2.51634582445783,99857.8500875586,38179.285160012,84669.5243397768,103698.048554397,88528.5242660978,40636.4799362388,43333.4909949417,40876.2962187149,477124.982905697,246904.883895078,230220.099010618,582248.577937233
SUBJ007,right,2.53916871539203,100535.034327021,37813.9443845302,86296.3813167421,104342.930551172,89959.9580969856,40089.0489428218,42210.0117687337,39934.9072104422,482463.400941977,247038.701302852,235424.699639125,582567.631190289
SUBJ010,left,2.59995512256829,97348.7243248569,36457.5797419609,80522.9412732619,101267.295858333,84409.4620609915,38931.8945950595,41402.8280139138,38928.5131608152,462830.607432855,233339.996783861,229490.610648994,550591.263287186
SUBJ010,right,2.65499143120973,97079.2533375316,35982.1227520653,80778.3329289742,100973.039711337,84642.9813490373,38336.6223371605,40292.7253169615,37938.2257318663,468703.83857889,234463.069386655,234240.769192235,552580.642291814
SUBJ011,left,2.30112848808038,96361.3374490463,35567.4585606171,82204.6566137009,100102.134566329,85883.2835812243,38036.3034128032,40383.7934778742,37914.9486256882,434214.50476839,230318.944178419,203895.560589971,535191.318002933
SUBJ011,right,2.28746418037897,95845.1527192208,35377.1988694393,81621.3116300396,99513.6466934027,85281.4910934162,37736.5690658067,39858.5003740802,37499.1301777128,424657.447386631,222887.610474025,201769.836912606,529043.910248066
SUBJ014,left,2.35465943437162,103729.182118879,39314.1760194412,87894.9809662706,107639.34075018,91772.5268617923,41789.7028164797,44246.0428849167,41770.5160878782,485565.529509838,261631.304012324,223934.225497514,606487.556997596
SUBJ014,right,2.35157294122757,104418.652523281,38599.8650869903,88176.846866136,108723.34893082,92335.46337119,41007.3915781361,43269.0494388666,40861.5229477208,480224.686259348,255378.135227918,224846.55103143,597981.739271065
